,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name
3869,0.727,0.743,1,0.0722,0.0387,0.0,0.382,0.611,125.004,219084,4,SHINee
3870,0.794,0.909,0,0.0677,0.101,0.0,0.1,0.858,126.018,190142,4,SHINee
3871,0.64,0.937,1,0.0839,0.0069,0.0,0.393,0.316,107.013,239187,4,SHINee
3872,0.687,0.921,1,0.0501,0.00268,1.54e-06,0.265,0.3,107.045,218973,4,SHINee
3873,0.578,0.948,5,0.152,0.0559,0.0,0.232,0.601,107.191,167533,4,SHINee
3874,0.655,0.881,5,0.0602,0.0484,2.5e-06,0.0632,0.731,94.005,241347,4,SHINee
3875,0.527,0.715,11,0.0369,0.14,0.0,0.0845,0.355,132.964,256581,4,SHINee
3876,0.802,0.788,9,0.066,0.0367,0.0,0.246,0.742,127.943,195213,4,SHINee
3877,0.794,0.345,4,0.0341,0.66,0.0,0.155,0.59,116.091,231453,4,SHINee
3878,0.318,0.765,0,0.0403,0.00545,0.381,0.0981,0.196,110.012,234280,4,SHINee
3879,0.782,0.826,5,0.0466,0.019,1.75e-05,0.33,0.464,112.006,272947,4,SHINee
3880,0.776,0.847,7,0.0965,0.0798,2.71e-06,0.926,0.417,106.016,226587,4,SHINee
3881,0.644,0.964,7,0.343,0.231,0.0,0.862,0.657,106.919,188613,4,SHINee
3882,0.641,0.976,9,0.239,0.00634,0.0,0.372,0.221,116.814,228667,4,SHINee
3883,0.672,0.916,7,0.068,0.112,0.0,0.96,0.639,109.005,210387,4,SHINee
3884,0.645,0.7,5,0.0627,0.142,0.0,0.928,0.524,96.965,183107,4,SHINee
3885,0.588,0.591,9,0.038,0.242,0.0,0.892,0.31,90.016,262453,4,SHINee
3886,0.732,0.718,0,0.0393,0.406,0.0,0.78,0.585,110.949,241933,4,SHINee
3887,0.699,0.762,9,0.198,0.101,0.0,0.886,0.477,114.937,176573,4,SHINee
3888,0.758,0.85,10,0.126,0.266,0.0,0.339,0.653,135.989,245200,4,SHINee
3889,0.791,0.827,4,0.0544,0.257,7.28e-06,0.737,0.552,130.029,210453,4,SHINee
3890,0.61,0.632,1,0.0371,0.313,2.4e-06,0.15,0.355,107.908,339853,4,SHINee
3891,0.58,0.826,4,0.149,0.0592,0.0,0.879,0.657,136.54,240480,4,SHINee
3892,0.665,0.829,8,0.0685,0.581,0.0,0.697,0.525,86.995,268387,4,SHINee
3893,0.61,0.619,0,0.0809,0.206,0.0,0.625,0.453,127.611,297893,4,SHINee
3894,0.596,0.761,2,0.155,0.248,0.0,0.631,0.75,74.827,247840,4,SHINee
3895,0.584,0.729,0,0.0758,0.55,0.0,0.228,0.674,83.92,218787,4,SHINee
3896,0.703,0.712,1,0.1,0.184,3.44e-06,0.663,0.598,99.99,217147,4,SHINee
3897,0.681,0.776,5,0.106,0.0104,0.0,0.868,0.759,98.272,188867,4,SHINee
3898,0.358,0.526,5,0.0392,0.333,0.0,0.822,0.31,141.636,249813,4,SHINee
3899,0.592,0.516,0,0.0502,0.667,0.0,0.535,0.286,124.002,279573,4,SHINee
3900,0.226,0.251,0,0.0306,0.97,5.57e-05,0.688,0.0746,105.399,162773,3,SHINee
3901,0.28,0.27,10,0.0357,0.824,0.00169,0.5,0.145,110.464,244533,3,SHINee
3902,0.656,0.912,1,0.0393,0.0505,0.00892,0.331,0.644,124.946,304907,4,SHINee
3903,0.76,0.657,5,0.0646,0.338,0.0,0.815,0.397,114.983,211333,4,SHINee
3904,0.687,0.768,4,0.103,0.105,0.0,0.768,0.439,127.894,183573,4,SHINee
3905,0.775,0.822,9,0.0416,0.012,0.0,0.304,0.636,125.023,325173,4,SHINee
3906,0.772,0.839,2,0.127,0.188,0.0,0.737,0.468,125.999,215533,4,SHINee
3907,0.68,0.94,11,0.129,0.147,0.0,0.37,0.68,124.869,189800,4,SHINee
3908,0.55,0.561,10,0.044,0.331,0.0,0.147,0.407,127.855,220947,4,SHINee
3909,0.838,0.727,1,0.0686,0.0278,1.31e-06,0.324,0.686,112.003,274200,4,SHINee
3910,0.623,0.988,2,0.0638,0.000609,1.66e-06,0.0988,0.548,116.966,231613,4,SHINee
3911,0.764,0.825,9,0.0399,0.00866,0.0,0.132,0.646,125.02,325707,4,SHINee
3912,0.318,0.765,0,0.0403,0.00545,0.381,0.0981,0.196,110.012,234280,4,SHINee
3913,0.782,0.826,5,0.0466,0.019,1.75e-05,0.33,0.464,112.006,272947,4,SHINee
3914,0.776,0.847,7,0.0965,0.0798,2.71e-06,0.926,0.417,106.016,226587,4,SHINee
3915,0.644,0.964,7,0.343,0.231,0.0,0.862,0.657,106.919,188613,4,SHINee
3916,0.641,0.976,9,0.239,0.00634,0.0,0.372,0.221,116.814,228667,4,SHINee
3917,0.672,0.916,7,0.068,0.112,0.0,0.96,0.639,109.005,210387,4,SHINee
3918,0.645,0.7,5,0.0627,0.142,0.0,0.928,0.524,96.965,183107,4,SHINee
3919,0.588,0.591,9,0.038,0.242,0.0,0.892,0.31,90.016,262453,4,SHINee
3920,0.732,0.718,0,0.0393,0.406,0.0,0.78,0.585,110.949,241933,4,SHINee
3921,0.699,0.762,9,0.198,0.101,0.0,0.886,0.477,114.937,176573,4,SHINee
3922,0.758,0.85,10,0.126,0.266,0.0,0.339,0.653,135.989,245200,4,SHINee
3923,0.791,0.827,4,0.0544,0.257,7.28e-06,0.737,0.552,130.029,210453,4,SHINee
3924,0.61,0.632,1,0.0371,0.313,2.4e-06,0.15,0.355,107.908,339853,4,SHINee
3925,0.58,0.826,4,0.149,0.0592,0.0,0.879,0.657,136.54,240480,4,SHINee
3926,0.665,0.829,8,0.0685,0.581,0.0,0.697,0.525,86.995,268387,4,SHINee
3927,0.61,0.619,0,0.0809,0.206,0.0,0.625,0.453,127.611,297893,4,SHINee
3928,0.596,0.761,2,0.155,0.248,0.0,0.631,0.75,74.827,247840,4,SHINee
3929,0.584,0.729,0,0.0758,0.55,0.0,0.228,0.674,83.92,218787,4,SHINee
3930,0.703,0.712,1,0.1,0.184,3.44e-06,0.663,0.598,99.99,217147,4,SHINee
3931,0.681,0.776,5,0.106,0.0104,0.0,0.868,0.759,98.272,188867,4,SHINee
3932,0.358,0.526,5,0.0392,0.333,0.0,0.822,0.31,141.636,249813,4,SHINee
3933,0.592,0.516,0,0.0502,0.667,0.0,0.535,0.286,124.002,279573,4,SHINee
3934,0.226,0.251,0,0.0306,0.97,5.57e-05,0.688,0.0746,105.399,162773,3,SHINee
3935,0.28,0.27,10,0.0357,0.824,0.00169,0.5,0.145,110.464,244533,3,SHINee
3936,0.656,0.912,1,0.0393,0.0505,0.00892,0.331,0.644,124.946,304907,4,SHINee
3937,0.76,0.657,5,0.0646,0.338,0.0,0.815,0.397,114.983,211333,4,SHINee
3938,0.687,0.768,4,0.103,0.105,0.0,0.768,0.439,127.894,183573,4,SHINee
3939,0.775,0.822,9,0.0416,0.012,0.0,0.304,0.636,125.023,325173,4,SHINee
3940,0.772,0.839,2,0.127,0.188,0.0,0.737,0.468,125.999,215533,4,SHINee
3941,0.68,0.94,11,0.129,0.147,0.0,0.37,0.68,124.869,189800,4,SHINee
3942,0.55,0.561,10,0.044,0.331,0.0,0.147,0.407,127.855,220947,4,SHINee
3943,0.838,0.727,1,0.0686,0.0278,1.31e-06,0.324,0.686,112.003,274200,4,SHINee
3944,0.623,0.988,2,0.0638,0.000609,1.66e-06,0.0988,0.548,116.966,231613,4,SHINee
3945,0.764,0.825,9,0.0399,0.00866,0.0,0.132,0.646,125.02,325707,4,SHINee
3946,0.797,0.887,11,0.0451,0.0191,0.0,0.0528,0.865,125.025,234067,4,SHINee
3947,0.81,0.86,11,0.0444,0.0265,0.0,0.315,0.521,117.015,178213,4,SHINee
3948,0.675,0.914,11,0.107,0.164,0.0,0.226,0.697,109.025,206147,4,SHINee
3949,0.47,0.861,7,0.118,0.0579,0.0,0.298,0.596,80.249,190573,4,SHINee
3950,0.599,0.995,0,0.172,0.0359,0.0,0.599,0.233,101.002,201307,4,SHINee
3951,0.676,0.733,6,0.0258,0.0521,0.0,0.074,0.708,88.018,223960,4,SHINee
3952,0.737,0.659,1,0.0768,0.201,2.37e-06,0.0879,0.565,99.968,215267,4,SHINee
3953,0.782,0.811,8,0.0552,0.0985,0.0,0.479,0.723,125.036,236347,4,SHINee
3954,0.725,0.789,5,0.113,0.0315,0.0,0.0629,0.888,98.304,183440,4,SHINee
3955,0.813,0.599,5,0.0439,0.0753,0.0,0.0538,0.554,97.002,184200,4,SHINee
3956,0.834,0.776,1,0.0525,0.0144,0.0,0.088,0.701,111.99,235893,4,SHINee
3957,0.734,0.907,0,0.0703,0.123,2.17e-06,0.0708,0.903,96.03,164013,4,SHINee
3958,0.78,0.813,9,0.0736,0.031,0.0,0.313,0.702,127.914,193293,4,SHINee
3959,0.797,0.887,11,0.0451,0.0191,0.0,0.0528,0.865,125.025,234067,4,SHINee
3960,0.81,0.86,11,0.0444,0.0265,0.0,0.315,0.521,117.015,178213,4,SHINee
3961,0.675,0.914,11,0.107,0.164,0.0,0.226,0.697,109.025,206147,4,SHINee
3962,0.47,0.861,7,0.118,0.0579,0.0,0.298,0.596,80.249,190573,4,SHINee
3963,0.599,0.995,0,0.172,0.0359,0.0,0.599,0.233,101.002,201307,4,SHINee
3964,0.676,0.733,6,0.0258,0.0521,0.0,0.074,0.708,88.018,223960,4,SHINee
3965,0.737,0.659,1,0.0768,0.201,2.37e-06,0.0879,0.565,99.968,215267,4,SHINee
3966,0.782,0.811,8,0.0552,0.0985,0.0,0.479,0.723,125.036,236347,4,SHINee
3967,0.725,0.789,5,0.113,0.0315,0.0,0.0629,0.888,98.304,183440,4,SHINee
3968,0.813,0.599,5,0.0439,0.0753,0.0,0.0538,0.554,97.002,184200,4,SHINee
3969,0.834,0.776,1,0.0525,0.0144,0.0,0.088,0.701,111.99,235893,4,SHINee
3970,0.734,0.907,0,0.0703,0.123,2.17e-06,0.0708,0.903,96.03,164013,4,SHINee
3971,0.78,0.813,9,0.0736,0.031,0.0,0.313,0.702,127.914,193293,4,SHINee
3972,0.797,0.887,11,0.0451,0.0191,0.0,0.0528,0.865,125.025,234067,4,SHINee
3973,0.81,0.86,11,0.0444,0.0265,0.0,0.315,0.521,117.015,178213,4,SHINee
3974,0.675,0.914,11,0.107,0.164,0.0,0.226,0.697,109.025,206147,4,SHINee
3975,0.42,0.861,7,0.117,0.0579,0.0,0.3,0.582,81.487,189253,4,SHINee
3976,0.599,0.995,0,0.172,0.0359,0.0,0.599,0.233,101.002,201307,4,SHINee
3977,0.676,0.733,6,0.0258,0.0521,0.0,0.0782,0.708,88.018,222720,4,SHINee
