,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
86,0.644,0.874,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,191040,4,*NSYNC,2000
87,0.706,0.978,10,0.0715,0.012,0.000876,0.649,0.677,113.962,261867,4,*NSYNC,2000
88,0.804,0.762,11,0.0448,0.0131,0.0,0.102,0.7,114.854,248560,4,*NSYNC,2000
89,0.813,0.854,4,0.0924,0.00967,1.37e-05,0.0678,0.609,104.503,205800,4,*NSYNC,2000
90,0.55,0.581,2,0.0325,0.367,0.0,0.122,0.475,165.981,283507,4,*NSYNC,2000
91,0.671,0.967,11,0.0597,0.000736,0.0,0.347,0.609,111.022,228973,4,*NSYNC,2000
92,0.649,0.975,7,0.106,0.0159,3.31e-05,0.181,0.856,177.809,261427,4,*NSYNC,2000
93,0.757,0.969,4,0.0381,0.0523,0.0932,0.378,0.853,111.949,208733,4,*NSYNC,2000
94,0.519,0.67,0,0.0322,0.364,0.0,0.121,0.377,142.481,288760,4,*NSYNC,2000
95,0.702,0.731,7,0.0328,0.211,2.45e-06,0.164,0.828,99.989,234960,4,*NSYNC,2000
96,0.285,0.28,0,0.0339,0.905,0.0,0.131,0.215,161.053,202333,4,*NSYNC,2000
97,0.794,0.789,11,0.0356,0.107,0.0,0.311,0.959,104.002,201107,4,*NSYNC,2000
98,0.689,0.862,1,0.0423,0.0899,0.000419,0.115,0.897,113.287,206440,4,*NSYNC,2000
99,0.622,0.493,0,0.0253,0.396,0.0,0.0998,0.118,134.73,276867,4,*NSYNC,2000
100,0.746,0.808,6,0.0329,0.00296,0.00443,0.0193,0.521,118.003,330360,4,*NSYNC,2000
101,0.614,0.928,8,0.0516,0.0408,0.00104,0.0845,0.879,172.656,200560,4,*NSYNC,2000
102,0.644,0.874,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,191040,4,*NSYNC,2000
