,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
118,0.494,0.583,8,0.0249,0.374,0.0,0.0781,0.603,84.969,244507,4,One Direction,2012-08-08
119,0.713,0.718,2,0.0278,0.00233,0.0,0.0838,0.656,126.999,197600,4,One Direction,2012-08-08
120,0.498,0.715,0,0.0315,0.0607,0.0,0.274,0.225,151.809,229107,4,One Direction,2012-08-08
121,0.606,0.929,0,0.055,0.023,0.0,0.101,0.622,139.022,194693,4,One Direction,2012-08-08
122,0.62,0.872,7,0.0347,0.00914,0.0,0.111,0.299,124.044,216947,4,One Direction,2012-08-08
123,0.561,0.898,7,0.056,0.000165,1.86e-05,0.327,0.638,133.965,198053,4,One Direction,2012-08-08
124,0.507,0.868,2,0.0305,0.00387,0.0,0.413,0.684,95.036,237707,4,One Direction,2012-08-08
125,0.674,0.814,7,0.0391,0.0182,0.0,0.079,0.491,128.092,173587,4,One Direction,2012-08-08
126,0.644,0.799,7,0.0366,0.0136,0.0,0.0811,0.79,130.051,217453,4,One Direction,2012-08-08
127,0.374,0.659,8,0.0281,0.00455,0.0,0.242,0.168,179.961,218707,4,One Direction,2012-08-08
128,0.602,0.871,2,0.0622,0.00528,0.0,0.288,0.495,128.057,205920,4,One Direction,2012-08-08
129,0.681,0.889,7,0.0396,0.0815,0.0,0.319,0.634,126.909,205560,4,One Direction,2012-08-08
130,0.584,0.9,4,0.0611,0.00646,0.0,0.267,0.893,125.007,175093,4,One Direction,2012-08-08
131,0.474,0.739,2,0.0451,0.0283,0.0,0.299,0.253,149.894,262640,4,One Direction,2012-08-08
132,0.54,0.86,8,0.0508,0.000478,0.0,0.214,0.585,127.927,203707,4,One Direction,2012-08-08
133,0.582,0.903,11,0.0576,0.0191,0.0,0.374,0.639,144.973,185653,4,One Direction,2012-08-08
134,0.495,0.966,3,0.114,0.017,0.0,0.606,0.553,139.93,215933,4,One Direction,2012-08-08
135,0.726,0.787,4,0.0738,0.009,0.0,0.0596,0.888,124.989,199987,4,One Direction,2012-05-25
136,0.494,0.583,8,0.0249,0.374,0.0,0.0781,0.603,84.969,244507,4,One Direction,2012-05-25
137,0.713,0.718,2,0.0278,0.00233,0.0,0.0838,0.656,126.999,197600,4,One Direction,2012-05-25
138,0.498,0.715,0,0.0315,0.0607,0.0,0.274,0.225,151.809,229107,4,One Direction,2012-05-25
139,0.606,0.929,0,0.055,0.023,0.0,0.101,0.622,139.022,194693,4,One Direction,2012-05-25
140,0.62,0.872,7,0.0347,0.00914,0.0,0.111,0.299,124.044,216947,4,One Direction,2012-05-25
141,0.561,0.898,7,0.056,0.000165,1.86e-05,0.327,0.638,133.965,198053,4,One Direction,2012-05-25
142,0.507,0.868,2,0.0305,0.00387,0.0,0.413,0.684,95.036,237707,4,One Direction,2012-05-25
143,0.674,0.814,7,0.0391,0.0182,0.0,0.079,0.491,128.092,173587,4,One Direction,2012-05-25
144,0.644,0.799,7,0.0366,0.0136,0.0,0.0811,0.79,130.051,217453,4,One Direction,2012-05-25
145,0.374,0.659,8,0.0281,0.00455,0.0,0.242,0.168,179.961,218707,4,One Direction,2012-05-25
146,0.602,0.871,2,0.0622,0.00528,0.0,0.288,0.495,128.057,205920,4,One Direction,2012-05-25
147,0.681,0.889,7,0.0396,0.0815,0.0,0.319,0.634,126.909,205560,4,One Direction,2012-05-25
148,0.584,0.9,4,0.0611,0.00646,0.0,0.267,0.893,125.007,175093,4,One Direction,2012-05-25
149,0.474,0.739,2,0.0451,0.0283,0.0,0.299,0.253,149.894,262640,4,One Direction,2012-05-25
150,0.54,0.86,8,0.0508,0.000478,0.0,0.214,0.585,127.927,203707,4,One Direction,2012-05-25
151,0.582,0.903,11,0.0576,0.0191,0.0,0.374,0.639,144.973,185653,4,One Direction,2012-05-25
152,0.495,0.966,3,0.114,0.017,0.0,0.606,0.553,139.93,215933,4,One Direction,2012-05-25
153,0.726,0.778,4,0.0784,0.00851,0.0,0.082,0.868,125.0,198840,4,One Direction,2012-05-25
154,0.506,0.599,8,0.0254,0.367,0.0,0.0736,0.578,84.996,244107,4,One Direction,2012-05-25
155,0.711,0.721,2,0.0282,0.00224,0.0,0.0525,0.675,126.988,197187,4,One Direction,2012-05-25
156,0.495,0.735,0,0.0332,0.0701,0.0,0.274,0.222,151.978,228693,4,One Direction,2012-05-25
157,0.6,0.932,0,0.0576,0.0227,0.0,0.527,0.569,139.048,192533,4,One Direction,2012-05-25
158,0.626,0.865,7,0.0338,0.00754,0.0,0.115,0.321,124.031,215293,4,One Direction,2012-05-25
159,0.56,0.896,7,0.0563,0.000179,1.32e-05,0.34,0.657,133.938,195907,4,One Direction,2012-05-25
160,0.508,0.865,2,0.032,0.00394,0.0,0.544,0.643,94.975,235560,4,One Direction,2012-05-25
161,0.684,0.805,4,0.0369,0.0176,0.0,0.157,0.498,128.039,171307,4,One Direction,2012-05-25
162,0.64,0.792,7,0.0369,0.0109,0.0,0.112,0.77,130.051,215800,4,One Direction,2012-05-25
163,0.474,0.665,8,0.0255,0.00528,0.0,0.267,0.186,89.981,217053,4,One Direction,2012-05-25
164,0.604,0.867,2,0.0546,0.00621,0.0,0.275,0.489,128.082,204280,4,One Direction,2012-05-25
165,0.68,0.889,7,0.039,0.0883,0.0,0.328,0.626,126.916,204973,4,One Direction,2012-05-25
166,0.582,0.902,4,0.0622,0.00662,0.0,0.19,0.91,124.993,173440,4,One Direction,2012-05-25
167,0.475,0.743,2,0.0497,0.0309,0.0,0.294,0.247,149.936,262173,4,One Direction,2012-05-25
168,0.696,0.831,4,0.0684,0.00535,0.0,0.0665,0.832,124.993,198840,4,One Direction,2012-05-25
169,0.548,0.68,8,0.0254,0.258,0.0,0.0618,0.565,85.002,244840,4,One Direction,2012-05-25
170,0.713,0.724,2,0.0282,0.00215,0.0,0.0636,0.653,126.992,197187,4,One Direction,2012-05-25
171,0.495,0.723,0,0.0309,0.062,0.0,0.268,0.238,151.836,228693,4,One Direction,2012-05-25
172,0.602,0.924,0,0.0554,0.0255,0.0,0.478,0.576,139.06,192533,4,One Direction,2012-05-25
173,0.62,0.858,7,0.0336,0.00868,0.0,0.114,0.274,124.057,215293,4,One Direction,2012-05-25
174,0.558,0.904,7,0.0534,0.000126,1e-05,0.37,0.617,133.963,195907,4,One Direction,2012-05-25
175,0.507,0.862,2,0.031,0.00424,0.0,0.574,0.618,95.035,235560,4,One Direction,2012-05-25
176,0.676,0.809,2,0.0374,0.0175,0.0,0.148,0.489,128.079,171307,4,One Direction,2012-05-25
177,0.639,0.813,7,0.0361,0.0128,0.0,0.11,0.79,130.051,215800,4,One Direction,2012-05-25
178,0.476,0.678,8,0.0257,0.00617,0.0,0.278,0.171,89.999,217053,4,One Direction,2012-05-25
179,0.605,0.867,2,0.0614,0.00615,0.0,0.272,0.436,128.013,204280,4,One Direction,2012-05-25
180,0.682,0.891,7,0.0388,0.0738,0.0,0.337,0.64,126.985,205133,4,One Direction,2012-05-25
181,0.729,0.771,4,0.0725,0.00761,0.0,0.087,0.873,125.011,198053,4,One Direction,2012-05-25
182,0.515,0.62,8,0.0268,0.405,0.0,0.0693,0.587,85.014,241787,4,One Direction,2012-05-25
183,0.713,0.724,2,0.0282,0.00215,0.0,0.0636,0.653,126.992,197187,4,One Direction,2012-05-25
184,0.495,0.723,0,0.0309,0.062,0.0,0.268,0.238,151.836,228693,4,One Direction,2012-05-25
185,0.602,0.924,0,0.0554,0.0255,0.0,0.478,0.576,139.06,192533,4,One Direction,2012-05-25
186,0.62,0.858,7,0.0336,0.00868,0.0,0.114,0.274,124.057,215293,4,One Direction,2012-05-25
187,0.558,0.904,7,0.0534,0.000126,1e-05,0.37,0.617,133.963,195907,4,One Direction,2012-05-25
188,0.507,0.862,2,0.031,0.00424,0.0,0.574,0.618,95.035,235560,4,One Direction,2012-05-25
189,0.676,0.809,2,0.0374,0.0175,0.0,0.148,0.489,128.079,171307,4,One Direction,2012-05-25
190,0.639,0.813,7,0.0361,0.0128,0.0,0.11,0.79,130.051,215800,4,One Direction,2012-05-25
191,0.476,0.678,8,0.0257,0.00617,0.0,0.278,0.171,89.999,217053,4,One Direction,2012-05-25
192,0.605,0.867,2,0.0614,0.00615,0.0,0.272,0.436,128.013,204280,4,One Direction,2012-05-25
193,0.682,0.891,7,0.0388,0.0738,0.0,0.337,0.64,126.985,205133,4,One Direction,2012-05-25
194,0.729,0.771,4,0.0725,0.00761,0.0,0.087,0.873,125.011,198053,4,One Direction,2012-05-25
195,0.515,0.62,8,0.0268,0.405,0.0,0.0693,0.587,85.014,241787,4,One Direction,2012-05-25
196,0.713,0.724,2,0.0282,0.00215,0.0,0.0636,0.653,126.992,197187,4,One Direction,2012-05-25
197,0.495,0.723,0,0.0309,0.062,0.0,0.268,0.238,151.836,228693,4,One Direction,2012-05-25
198,0.602,0.924,0,0.0554,0.0255,0.0,0.478,0.576,139.06,192533,4,One Direction,2012-05-25
199,0.62,0.858,7,0.0336,0.00868,0.0,0.114,0.274,124.057,215293,4,One Direction,2012-05-25
200,0.558,0.904,7,0.0534,0.000126,1e-05,0.37,0.617,133.963,195907,4,One Direction,2012-05-25
201,0.507,0.862,2,0.031,0.00424,0.0,0.574,0.618,95.035,235560,4,One Direction,2012-05-25
202,0.676,0.809,2,0.0374,0.0175,0.0,0.148,0.489,128.079,171307,4,One Direction,2012-05-25
203,0.639,0.813,7,0.0361,0.0128,0.0,0.11,0.79,130.051,215800,4,One Direction,2012-05-25
204,0.476,0.678,8,0.0257,0.00617,0.0,0.278,0.171,89.999,217053,4,One Direction,2012-05-25
205,0.605,0.867,2,0.0614,0.00615,0.0,0.272,0.436,128.013,204280,4,One Direction,2012-05-25
206,0.682,0.891,7,0.0388,0.0738,0.0,0.337,0.64,126.985,205133,4,One Direction,2012-05-25
207,0.678,0.869,0,0.0461,0.149,0.0,0.0593,0.882,123.964,200533,4,One Direction,2015-11-11
208,0.546,0.657,1,0.0332,0.0928,0.0,0.119,0.361,133.188,196933,4,One Direction,2015-11-10
209,0.502,0.594,11,0.0365,0.0256,0.0,0.0834,0.349,153.687,194973,5,One Direction,2015-11-09
210,0.655,0.699,11,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,4,One Direction,2015-11-06
211,0.704,0.468,2,0.0359,0.514,0.0,0.103,0.278,100.084,231680,4,One Direction,2015-10-22
212,0.42,0.867,9,0.0859,0.0115,0.0,0.0851,0.628,78.814,194907,4,One Direction,2015-10-22
213,0.728,0.7,2,0.0374,0.0342,0.0,0.191,0.474,100.025,223827,4,One Direction,2015-10-22
214,0.708,0.725,0,0.0893,0.0496,0.0,0.0724,0.357,138.04,188613,4,One Direction,2015-10-22
215,0.704,0.468,2,0.0359,0.514,0.0,0.103,0.278,100.084,231680,4,One Direction,2015-10-22
216,0.42,0.867,9,0.0859,0.0115,0.0,0.0851,0.628,78.814,194907,4,One Direction,2015-10-22
217,0.728,0.7,2,0.0374,0.0342,0.0,0.191,0.474,100.025,223827,4,One Direction,2015-10-22
218,0.708,0.725,0,0.0893,0.0496,0.0,0.0724,0.357,138.04,188613,4,One Direction,2015-10-22
219,0.647,0.823,2,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,One Direction,2015-10-16
220,0.529,0.736,4,0.0346,0.0725,0.0,0.0832,0.394,131.944,249493,4,One Direction,2015-09-22
221,0.723,0.711,0,0.0378,0.0997,0.0,0.0528,0.606,138.098,192107,4,One Direction,2015-07-31
222,0.634,0.799,10,0.0342,0.000288,0.0249,0.13,0.299,103.01,281533,4,One Direction,2014-12-19
223,0.586,0.585,5,0.0434,0.283,0.0,0.0811,0.41,123.495,220173,4,One Direction,2014-12-12
224,0.68,0.505,3,0.0304,0.872,0.0,0.113,0.639,119.976,220493,4,One Direction,2014-12-12
225,0.643,0.708,10,0.0489,0.559,0.0,0.196,0.879,154.517,226773,4,One Direction,2014-12-12
226,0.609,0.588,10,0.0537,0.191,0.0,0.106,0.637,154.377,227120,4,One Direction,2014-11-07
227,0.906,0.57,3,0.0484,0.00105,0.0292,0.0553,0.538,121.499,320733,4,One Direction,2014-10-20
